request_id,stakeholder_team,report_name,cadence,manual_hours,dashboard_reuse_score,data_quality_score,executive_visibility,ai_assist_fit,automation_readiness
REQ016,Operations,Dashboard freshness followup,Biweekly,7.8,76.3,94.5,Medium,100,94.8
REQ007,Executive Staff,Implementation readiness readout,Biweekly,5.4,72.3,93.1,Low,100,93.8
REQ014,Product,Enterprise onboarding update,Monthly,3.6,76.9,89.7,High,99.7,93.3
REQ006,Operations,Customer health exception list,Biweekly,7.3,77.0,80.6,High,100,90.7
REQ018,Finance,Operations SLA watchlist,Biweekly,6.4,91.3,72.5,Low,100,90.4
REQ010,Revenue,AI assist adoption pulse,Monthly,7.4,84.3,71.2,High,100,89.0
REQ002,Finance,Renewal risk packet,Biweekly,7.1,44.5,83.7,Medium,100,86.8
REQ011,Operations,Flow reliability escalation list,Biweekly,7.4,54.5,74.0,High,100,85.4
REQ015,Finance,Pipeline source reconciliation,Weekly,2.9,80.7,91.1,Medium,83.1,85.1
REQ004,Finance,Integration error summary,Weekly,5.2,72.8,62.7,Low,94.0,81.4
REQ005,Finance,Finance ARR variance review,Weekly,5.2,58.3,58.8,High,99.9,81.3
REQ008,Finance,Support friction review,Biweekly,4.3,45.1,93.2,Medium,83.8,80.8
REQ012,Finance,Data quality incident review,Weekly,6.2,42.8,63.9,High,100,80.6
REQ013,Product,GTM account movement tracker,Monthly,3.6,63.6,76.1,Low,79.7,76.2
REQ001,Finance,Weekly executive KPI digest,Monthly,2.7,69.4,77.4,Medium,73.9,74.3
REQ017,Revenue,Metric ownership change log,Biweekly,2.1,45.1,88.1,High,74.7,74.3
REQ009,Finance,Self serve adoption digest,Weekly,4.0,44.8,66.0,High,86.2,73.9
REQ003,Product,Product usage expansion scan,Biweekly,3.0,80.2,60.3,Medium,76.1,72.0
